target_country,target_year,context_label,twin_rank,twin_country,twin_year,similarity_score,distance,twin_gdp_growth_1y,twin_co2_per_capita,twin_temp_anomaly
USA,2015,United States (Post-Financial Recovery / Energy Transition),1,ESP,2021,0.8861,2.9844,0.05083472492814962,12.187951073564353,1.0712745292886487
USA,2015,United States (Post-Financial Recovery / Energy Transition),2,BEL,2007,0.8795,3.1566,-0.003414645609752282,10.936043604479526,0.9702797630462426
USA,2015,United States (Post-Financial Recovery / Energy Transition),3,DEU,2017,0.8659,3.5147,0.008256506282616309,10.997371813446446,1.0966601814248482
DEU,2012,Germany (European Debt Crisis / Energy Transition Era),1,FRA,2001,0.8443,4.0757,0.003976389468657064,8.33443287587029,0.7876671903805158
DEU,2012,Germany (European Debt Crisis / Energy Transition Era),2,AUT,2004,0.8435,4.0961,0.017131899451099653,9.509376799737426,0.8332018772877652
DEU,2012,Germany (European Debt Crisis / Energy Transition Era),3,BEL,2014,0.8423,4.1297,0.008851970869580695,11.653134687131748,1.0051844204419815
BRA,2014,Brazil (Commodity Peak / Political Unrest Threshold),1,BRA,2017,0.8973,2.7063,0.008314132088042372,11.707854001283318,1.004520185651001
BRA,2014,Brazil (Commodity Peak / Political Unrest Threshold),2,IRN,2012,0.8758,3.2735,-0.028405908571634858,10.616299076031918,1.0093691548595063
BRA,2014,Brazil (Commodity Peak / Political Unrest Threshold),3,VNM,2008,0.8661,3.5283,0.04198153198466127,10.407232416048693,0.9883116180907167
CHN,2015,China (Industrial Peak / Carbon Shift Era),1,PER,2007,0.8738,3.3113,0.08035953774625326,10.19865020539638,0.9045485120668896
CHN,2015,China (Industrial Peak / Carbon Shift Era),2,BRA,2009,0.8638,3.572,0.062949392610565,10.47486563189227,1.0254417644508027
CHN,2015,China (Industrial Peak / Carbon Shift Era),3,THA,2010,0.8637,3.5747,0.002139258492862453,10.083539397271364,0.9783695267288377
IND,2015,India (Rapid Industrial & Population Growth),1,BGD,2006,0.8547,3.7452,0.05408145902494822,9.800373226797188,0.902178884468913
IND,2015,India (Rapid Industrial & Population Growth),2,IND,2022,0.8546,3.7482,0.06882190212624612,11.64917322020164,1.1782548095541263
IND,2015,India (Rapid Industrial & Population Growth),3,IDN,2015,0.8529,3.7911,0.03778785465315382,11.635735393810537,1.0808119823541256
GBR,2011,United Kingdom (Post-Recession Fiscal Tightening),1,ITA,2005,0.8931,2.8243,0.014752477656966701,9.578688080087698,0.8517408870609593
GBR,2011,United Kingdom (Post-Recession Fiscal Tightening),2,USA,1996,0.8585,3.7396,0.03155494780778541,8.045144088724381,0.5237841575280375
GBR,2011,United Kingdom (Post-Recession Fiscal Tightening),3,ITA,2000,0.8558,3.8104,0.017716726922157106,8.887055272209304,0.7848399903913977
ZAF,2015,South Africa (Energy Grid Stress / Social Unrest),1,POL,2005,0.8457,4.0575,0.061530661810822375,10.392451339422177,0.8966584486806946
ZAF,2015,South Africa (Energy Grid Stress / Social Unrest),2,PHL,1995,0.8457,4.0596,0.03391401857712881,7.179275076045891,0.5270743857868218
ZAF,2015,South Africa (Energy Grid Stress / Social Unrest),3,KEN,2006,0.8456,4.0598,0.03604104307736493,9.56894310821122,0.8207020787371927
AUS,2013,Australia (Mining Boom / Climate Disaster Exposure),1,KOR,2014,0.8644,3.6137,0.023517464350597345,11.186909608453577,1.1307511880013854
AUS,2013,Australia (Mining Boom / Climate Disaster Exposure),2,GBR,2009,0.8518,3.9518,0.014104857184581342,10.038981030746312,0.9851290042312664
AUS,2013,Australia (Mining Boom / Climate Disaster Exposure),3,CHN,2008,0.8495,4.0119,0.08496136453792498,10.258105198895246,0.9290290735242966
