iso3,year,co2_emissions_per_capita,temp_anomaly_celsius,forest_area_pct_land,floods_count,droughts_count,wildfires_count,extreme_temp_count,storms_count,disaster_economic_damage_usd,renewable_energy_pct_share,greenhouse_gas_total_kt,energy_use_per_capita,protected_area_pct
ARE,1960,0.9898389312834565,-0.28166395307508935,14.129428229118208,0.0,0.0,0.0,0.0,0.0,57693.742202489484,9.511958582133232,9715.271945881428,326.2759311477484,2.4936767004341096
ARE,1961,0.8605849918320726,-0.3696291916520907,8.17324032341459,0.0,0.0,0.0,0.0,0.0,32007.082741707374,4.530397542610363,66033.21775367032,414.8811351282782,5.320259193408949
ARE,1962,0.6154240379363415,-0.30527532981494077,3.0602081658975813,1.0,0.0,0.0,0.0,0.0,879142.0147325838,3.1997546390156826,-30.14160476194229,800.0340537259854,1.0695063702245746
ARE,1963,1.5739351548743166,-0.32441789661185305,13.858137872445024,0.0,0.0,0.0,1.0,0.0,5674.783896124849,5.986404340100453,55319.1299390658,158.12963178640928,4.308871221866466
ARE,1964,0.5377409799792018,-0.27902908691433964,9.895006882863617,0.0,1.0,1.0,0.0,1.0,140306.75461190753,9.955909613485604,21687.410217670895,1027.4052235942463,4.9777472880072695
ARE,1965,1.8185851207042991,-0.46908604040789015,13.261779744279538,1.0,0.0,0.0,0.0,0.0,175612.9520801568,9.74725216167072,52686.1055127788,848.6058778009532,3.1406856572066175
ARE,1966,0.8802112237972405,-0.4132982308263709,13.403392222134604,0.0,1.0,0.0,0.0,0.0,288433.5296547225,8.38278801798455,74142.64131317922,769.3343303367552,5.03567856434027
ARE,1967,1.1152637901928506,-0.20492590189248308,18.52464955678165,0.0,0.0,0.0,0.0,0.0,199149.72023333202,11.506207567359503,30402.528672593235,924.2337573044986,5.169786868400401
ARE,1968,0.8037291402723646,-0.15742470495657973,15.987515838343274,0.0,0.0,0.0,0.0,1.0,55254.26033655975,10.857437357574975,14140.02657772381,1038.7224729938873,4.412598844676784
ARE,1969,1.4663072092903078,-0.298284022369541,15.86948862677733,0.0,0.0,0.0,0.0,0.0,198229.48236378437,10.68330076241951,48977.635226127335,865.1339968850988,6.57621484500703
ARE,1970,2.43163826687919,-0.2287975929383027,18.052623987690062,1.0,0.0,0.0,0.0,1.0,829699.964567506,10.325272904279506,50816.263272751414,1042.153758312866,4.577298990150183
