iso3,year,renewable_energy_pct_share,energy_use_per_capita,temp_anomaly_celsius,extreme_disasters_count
ARE,1960,0.0,10740.8429217188,-0.3536807944522944,0
ARE,1961,0.0,10740.8429217188,-0.2512055765545366,2
ARE,1962,0.0,10740.8429217188,-0.18941121883041298,0
ARE,1963,0.0,10740.8429217188,-0.019278701729957104,0
ARE,1964,0.0,10740.8429217188,-0.33282574927071884,1
ARE,1965,0.0,10740.8429217188,-0.28619546963644454,1
ARE,1966,0.0,10740.8429217188,-0.2775985253389309,1
ARE,1967,0.0,10740.8429217188,-0.21969916303049752,0
ARE,1968,0.0,10740.8429217188,-0.24003455590515915,1
ARE,1969,0.0,10740.8429217188,-0.10764518384536724,0
ARE,1970,0.0,10740.8429217188,-0.13191101513692038,0
ARE,1971,0.0,10740.8429217188,-0.10164201949263696,1
ARE,1972,0.0,10740.8429217188,-0.14517395633418353,1
ARE,1973,0.0,10740.8429217188,-0.08492992041531758,1
ARE,1974,0.0,10740.8429217188,-0.12340368277257201,0
ARE,1975,0.0,10740.8429217188,-0.12313089316438522,2
ARE,1976,0.0,10740.8429217188,-0.10079489828347928,0
ARE,1977,0.0,10740.8429217188,-0.19338661652942493,2
ARE,1978,0.0,10740.8429217188,0.08520488145093197,1
ARE,1979,0.0,10740.8429217188,-0.17863041009901068,1
ARE,1980,0.0,10740.8429217188,-0.16885070987911893,0
ARE,1981,0.0,10740.8429217188,0.11065379087703917,0
ARE,1982,0.0,10740.8429217188,0.17498313493807274,0
ARE,1983,0.0,10740.8429217188,0.1007775517882617,2
ARE,1984,0.0,10740.8429217188,0.2019049370065894,0
ARE,1985,0.0,10740.8429217188,0.1600881304384883,4
ARE,1986,0.0,10740.8429217188,0.06968137056718254,2
ARE,1987,0.0,10740.8429217188,0.22235974524752877,0
ARE,1988,0.0,10740.8429217188,0.2355769270632133,1
ARE,1989,0.0,10740.8429217188,0.0965507473107969,4
ARE,1990,0.0,10740.8429217188,0.1760101374628807,1
ARE,1991,0.0,11690.0970198374,0.10785211807237693,2
ARE,1992,0.2,10562.8994380617,0.20299004979273724,1
ARE,1993,0.1,10572.6698308454,0.29145152641327393,1
ARE,1994,0.1,11178.3984813089,0.1502615338159416,1
ARE,1995,0.1,11360.9014709113,0.20767129957307554,3
ARE,1996,0.1,11250.1691193254,0.32186131293830067,2
ARE,1997,0.1,10941.7465226956,0.3058502421212464,0
ARE,1998,0.1,10375.285992572,0.29955138743201254,0
ARE,1999,0.1,9839.14403490257,0.3586909827503051,1
ARE,2000,0.1,8956.94929901911,0.307222066635549,1
ARE,2001,0.1,11703.2751045514,0.46346347723114223,3
ARE,2002,0.1,10866.2518811768,0.4879368002224187,1
ARE,2003,0.1,10102.2168560285,0.35211003720623185,1
ARE,2004,0.1,9441.12715739602,0.38680987138988665,2
ARE,2005,0.1,9535.07550578601,0.39562069580088105,1
ARE,2006,0.1,9239.04144595382,0.605287863769501,0
ARE,2007,0.1,8929.1273242532,0.30009233453173034,4
ARE,2008,0.1,9425.05532774732,0.49942334538510313,1
ARE,2009,0.1,9445.23902000287,0.5866285142712004,1
